word,mass,drag,restitution,warmth,age,intensity
think,0.1,0.2,-0.2,-0.1,0.1,-0.3
any,0.0,0.1,0.0,0.0,0.0,0.0
then,0.0,0.0,0.0,0.0,0.0,0.0
could,0.0,0.1,0.0,0.0,0.0,0.0
back,0.1,-0.1,0.3,0.0,0.0,0.1
these,0.0,0.0,0.0,0.0,0.0,0.0
us,0.0,0.0,0.1,0.4,0.0,0.0
want,0.1,0.0,0.2,0.3,-0.2,0.3
because,0.1,0.0,0.0,0.0,0.0,0.0
go,-0.1,-0.3,0.5,0.1,-0.2,0.3
well,0.1,0.0,0.1,0.3,0.1,0.0
said,0.0,0.0,-0.1,0.1,0.1,0.1
way,0.0,0.1,0.1,0.0,0.1,0.0
most,0.2,0.0,0.0,0.1,0.1,0.2
much,0.2,0.0,-0.1,0.1,0.0,0.1
very,0.0,0.1,0.0,0.0,0.0,0.1
where,0.0,0.1,0.0,0.0,0.0,0.0
even,0.0,0.0,0.0,0.0,0.0,0.0
should,0.1,0.1,0.0,0.0,0.0,0.0
may,0.0,0.3,0.0,0.1,0.0,0.0
here,0.1,-0.1,0.0,0.1,0.0,0.0
need,0.4,-0.1,-0.2,0.2,0.0,0.5
really,-0.1,0.1,0.2,0.1,-0.1,0.3
did,0.1,-0.2,0.0,0.0,0.0,0.2
right,0.2,-0.1,0.3,0.0,0.0,0.3
work,0.5,0.0,-0.4,0.2,0.2,0.1
year,0.3,0.2,-0.1,0.0,0.4,-0.2
years,0.6,0.1,-0.2,-0.1,0.6,-0.2
being,0.1,0.3,0.2,0.3,0.3,-0.3
day,-0.1,0.2,0.2,0.6,0.0,0.0
too,0.0,0.0,0.0,0.0,0.0,0.0
going,-0.2,0.0,0.5,0.1,-0.3,0.2
before,0.1,0.1,0.0,0.0,0.1,0.0
off,0.0,-0.2,0.1,0.0,0.0,0.0
why,0.0,0.2,0.0,0.0,0.0,0.0
made,0.3,0.0,-0.2,0.1,0.2,0.1
still,0.3,0.4,-0.7,-0.3,0.3,-0.8
take,0.2,-0.1,-0.1,0.0,0.0,0.2
got,0.2,-0.1,0.2,0.1,-0.2,0.3
many,0.4,0.3,0.1,0.0,0.2,0.1
never,0.6,-0.1,-0.8,-0.5,0.7,0.2
those,0.1,0.1,0.0,0.0,0.1,0.0
life,0.2,0.3,0.6,0.7,0.4,0.3
say,-0.2,0.2,0.1,0.1,0.0,0.2
world,0.9,0.0,-0.4,0.2,0.8,0.1
down,0.5,-0.3,-0.5,-0.1,0.0,-0.2
great,0.6,0.2,0.3,0.4,0.3,0.6
through,0.0,-0.4,0.0,0.0,0.0,0.0
last,0.5,0.0,-0.6,-0.3,0.6,0.1
while,0.0,0.3,0.0,0.0,0.0,-0.1
best,0.3,0.1,0.5,0.5,0.1,0.4
such,0.0,0.0,0.0,0.0,0.0,0.0
love,0.3,0.4,0.3,0.9,0.6,0.4
man,0.5,0.0,-0.1,0.4,0.4,0.2
home,0.4,0.2,-0.2,0.8,0.3,-0.3
long,0.4,0.2,-0.2,0.0,0.5,-0.2
look,-0.1,-0.2,0.3,0.0,-0.1,0.1
something,0.1,0.1,0.0,0.0,-0.1,-0.2
use,0.2,0.0,-0.1,0.0,0.1,0.0
same,0.2,0.0,-0.4,-0.1,0.2,-0.3
used,0.3,0.0,-0.5,-0.1,0.4,-0.2
both,0.1,0.0,0.0,0.0,0.0,0.0
every,0.1,0.1,0.0,0.0,0.0,0.0
am,0.0,0.0,0.0,0.1,0.0,0.0
come,0.1,0.0,0.2,0.3,0.0,0.3
part,-0.1,0.1,0.1,0.0,0.0,-0.1
state,0.3,0.0,-0.2,-0.1,0.2,0.1
three,0.0,0.0,0.0,0.0,0.0,0.0
around,-0.2,0.3,0.3,0.0,0.0,-0.1
between,0.0,0.0,0.1,-0.1,0.0,-0.2
always,0.2,0.1,-0.1,0.1,0.5,0.1
better,-0.1,0.1,0.3,0.3,-0.1,0.2
find,0.1,-0.1,0.2,0.2,0.0,0.2
help,0.1,0.2,0.2,0.6,0.0,0.3
high,-0.4,0.5,0.4,0.1,0.0,0.2
little,-0.5,0.3,0.3,0.2,-0.4,-0.3
old,0.3,0.0,-0.3,0.1,0.8,-0.2
since,0.0,0.0,0.0,0.0,0.1,0.0
another,0.0,0.0,0.1,0.0,-0.1,0.0
does,0.0,0.0,0.0,0.0,0.0,0.0
own,0.2,0.0,-0.2,0.2,0.1,0.1
things,0.1,0.0,0.0,0.0,0.0,0.0
under,0.2,-0.1,-0.3,-0.2,0.0,-0.2
during,0.0,0.1,0.0,0.0,0.0,0.0
game,-0.2,0.2,0.7,0.3,-0.3,0.4
thing,0.1,0.0,0.0,0.0,0.0,0.0
give,-0.1,0.1,0.2,0.5,0.0,0.1
house,0.6,0.0,-0.4,0.6,0.2,-0.1
place,0.2,0.0,-0.1,0.1,0.1,-0.1
school,0.5,0.0,-0.2,0.1,0.3,0.3
again,-0.1,0.1,0.5,0.0,-0.1,0.2
next,-0.2,-0.2,0.4,-0.1,-0.5,0.1
each,0.0,0.0,0.0,0.0,0.0,0.0
mr,0.1,0.0,-0.1,0.0,0.3,0.0
without,-0.3,0.3,-0.1,-0.4,0.0,-0.3
against,0.4,0.2,-0.3,-0.1,0.0,0.4
end,0.4,-0.2,-0.5,-0.2,0.2,0.1
found,0.2,0.0,-0.1,0.3,0.1,0.2
must,0.5,-0.1,-0.4,0.0,0.1,0.6
show,-0.1,0.2,0.3,0.2,-0.2,0.5
big,0.6,0.0,0.1,0.1,0.0,0.3
feel,-0.2,0.3,0.2,0.5,0.0,-0.2
sure,0.3,0.0,-0.2,0.2,0.0,0.2
team,0.3,0.0,0.3,0.4,-0.1,0.4
ever,-0.1,0.4,0.1,0.0,0.6,0.1
family,0.4,0.0,-0.1,0.8,0.4,0.2
keep,0.3,0.0,-0.3,0.2,0.1,0.1
might,0.1,0.3,0.1,0.0,0.0,0.1
please,-0.3,0.4,0.2,0.4,0.0,-0.2
put,0.1,-0.1,-0.2,0.0,0.0,0.0
money,0.3,0.2,0.1,-0.2,0.3,0.2
free,-0.6,0.6,0.6,0.3,0.0,0.3
second,-0.1,-0.1,0.2,-0.1,-0.3,0.1
someone,0.1,0.0,0.0,0.2,0.0,0.0
away,-0.4,0.5,0.2,-0.2,0.0,-0.3
left,-0.1,0.0,0.1,0.0,0.0,0.0
number,0.0,0.0,0.2,-0.2,0.2,0.0
city,0.7,0.0,-0.4,0.3,0.3,0.5
days,0.0,0.2,0.0,0.1,0.1,-0.2
lot,0.2,0.0,0.0,0.0,0.0,0.1
name,0.1,0.1,0.1,0.2,0.3,0.1
night,0.3,0.3,-0.2,-0.5,0.4,-0.5
play,-0.3,0.1,0.7,0.4,-0.2,0.4
until,0.0,0.0,0.0,0.0,0.0,0.0
company,0.3,0.0,-0.1,0.1,0.1,0.2
doing,-0.1,0.0,0.2,0.1,-0.2,0.1
few,-0.4,0.2,0.1,-0.1,0.0,-0.3
let,-0.2,0.1,0.3,0.0,0.0,0.0
real,0.3,0.0,0.1,0.1,0.2,0.1
called,0.0,0.1,0.0,0.0,0.0,0.2
different,0.0,0.0,0.2,0.0,-0.1,0.1
having,0.0,0.0,0.0,0.1,0.0,0.0
set,0.3,-0.1,-0.2,0.0,0.1,0.1
thought,0.1,0.5,0.1,0.2,0.1,-0.4
done,0.4,0.0,-0.5,0.1,0.2,0.2
however,0.0,0.1,0.0,0.0,0.0,0.0
getting,-0.1,0.0,0.2,0.1,-0.1,0.1
god,0.9,0.2,0.1,0.3,0.9,0.6
government,0.8,0.3,-0.6,-0.3,0.4,0.3
group,0.3,0.0,0.1,0.2,0.0,0.2
looking,-0.1,-0.3,0.0,0.0,0.0,-0.2
public,0.4,0.1,-0.1,0.0,0.1,0.3
top,0.1,-0.1,0.5,0.1,0.0,0.2
women,0.2,0.0,0.1,0.5,0.3,0.2
business,0.5,0.0,-0.3,-0.2,0.2,0.2
care,0.1,0.4,0.2,0.7,0.1,-0.3
start,-0.1,-0.3,0.6,0.2,-0.5,0.4
system,0.5,0.0,-0.2,-0.4,0.2,0.0
times,0.2,0.1,0.0,0.0,0.5,0.1
week,0.1,0.1,0.1,0.0,0.0,-0.1
already,0.1,0.0,0.0,0.0,0.1,0.1
anything,-0.2,0.2,0.1,0.0,-0.1,0.0
case,0.3,0.0,-0.2,-0.1,0.1,0.0
nothing,-0.8,-0.2,-0.5,-0.6,0.2,-0.8
person,0.2,0.0,0.2,0.4,0.1,0.1
today,-0.2,0.0,0.2,0.2,-0.7,0.1
change,0.1,0.2,0.5,0.1,-0.2,0.3
enough,0.3,0.0,-0.3,0.1,0.0,0.2
everything,0.8,0.1,0.0,0.2,0.3,0.4
full,0.6,0.1,-0.1,0.2,0.0,0.2
live,0.2,0.2,0.4,0.6,0.2,0.3
making,0.2,0.0,0.2,0.3,-0.1,0.2
point,0.0,-0.6,0.3,-0.1,0.0,0.1
read,0.1,0.2,0.1,0.2,0.2,-0.4
told,0.2,0.1,-0.1,0.1,0.1,0.3
yet,-0.1,0.1,0.1,0.0,-0.1,0.0
bad,0.2,-0.1,-0.3,-0.2,0.0,0.3
four,0.0,0.0,0.0,0.0,0.0,0.0
hard,0.6,-0.2,0.3,-0.2,0.2,0.4
mean,0.2,-0.1,-0.2,-0.3,0.0,0.2
once,-0.2,0.2,-0.1,0.1,0.3,-0.2
support,0.4,0.0,-0.1,0.3,0.1,0.1
tell,-0.1,0.0,0.2,0.2,0.0,0.3
including,0.0,0.1,0.0,0.0,0.0,0.0
music,0.1,0.4,0.4,0.5,0.4,0.5
power,0.6,-0.2,0.1,0.3,0.2,0.7
seen,-0.1,0.0,0.0,0.0,0.1,-0.2
states,0.5,0.0,-0.3,-0.1,0.3,0.2
stop,0.4,-0.3,-0.4,-0.1,0.0,0.6
water,0.2,0.1,-0.2,-0.2,0.6,0.1
based,0.3,-0.1,-0.3,0.0,0.1,0.0
believe,0.2,0.3,0.1,0.4,0.3,0.2
call,0.0,0.1,0.3,0.1,0.0,0.5
head,0.3,0.0,0.1,0.3,0.2,0.1
men,0.4,0.0,-0.1,0.2,0.3,0.2
national,0.4,0.1,-0.2,-0.1,0.2,0.2
small,-0.5,0.1,0.3,0.1,-0.1,-0.4
took,0.1,-0.1,-0.1,0.0,0.1,0.1
white,-0.2,0.4,0.1,-0.5,0.1,-0.1
came,0.0,0.0,0.1,0.1,0.1,0.1
far,-0.2,0.3,0.0,-0.2,0.2,-0.1
job,0.3,0.0,-0.2,0.1,0.1,0.1
side,0.1,0.0,0.0,0.0,0.0,0.0
though,0.0,0.2,0.0,0.0,0.0,0.0
try,0.1,0.1,0.4,0.2,-0.1,0.3
went,0.0,-0.1,0.1,0.0,0.1,0.1
yes,-0.1,0.1,0.5,0.4,0.0,0.4
actually,0.0,0.2,0.0,0.0,-0.2,0.0
american,0.3,0.0,0.0,0.1,-0.2,0.3
later,-0.2,0.3,0.1,0.0,-0.3,-0.2
less,-0.3,0.1,-0.1,-0.1,0.0,-0.3
line,-0.1,-0.3,0.2,-0.2,0.1,-0.1
order,0.4,-0.1,-0.3,-0.2,0.3,0.2
party,0.2,0.4,0.6,0.6,-0.1,0.7
run,0.1,-0.3,0.5,0.3,0.0,0.5
says,-0.1,0.0,0.2,0.1,0.0,0.2
service,0.2,0.0,-0.1,0.1,0.1,0.0
country,0.6,0.1,-0.2,0.3,0.5,0.2
open,-0.2,0.3,0.3,0.3,-0.1,0.2
season,0.2,0.2,0.1,0.2,0.4,0.1
shit,0.3,-0.2,-0.7,0.2,-0.1,0.7
thank,-0.1,0.1,0.3,0.6,0.1,0.2
children,-0.2,0.2,0.6,0.7,-0.6,0.6
everyone,0.2,0.1,0.1,0.3,0.0,0.3
general,0.5,0.0,-0.2,-0.1,0.3,0.4
trying,0.2,0.1,-0.2,0.2,0.0,0.3
united,0.4,0.0,0.1,0.4,0.2,0.3
using,0.0,0.0,0.0,0.0,0.0,0.0
area,0.1,0.3,0.0,0.0,0.1,-0.2
black,0.3,-0.1,-0.4,-0.3,0.3,0.2
following,0.0,0.2,0.1,0.0,-0.1,-0.2
law,0.7,-0.1,-0.6,-0.2,0.6,0.4
makes,0.0,0.0,0.2,0.1,0.0,0.1
together,0.3,0.1,0.3,0.6,0.1,0.2
war,0.8,-0.2,-0.7,0.7,0.5,0.9
whole,0.4,0.0,0.1,0.2,0.1,0.1
car,0.6,-0.1,0.2,0.2,-0.2,0.5
face,0.2,0.2,0.2,0.4,0.1,0.2
five,0.0,0.0,0.2,0.0,0.0,0.0
kind,-0.1,0.3,0.2,0.6,0.1,-0.3
maybe,-0.2,0.4,0.4,0.0,-0.1,-0.3
per,0.0,0.0,0.0,0.0,0.0,0.0
president,0.6,0.0,-0.2,0.1,0.3,0.4
story,0.1,0.3,0.2,0.4,0.4,0.1
working,0.3,0.0,-0.1,0.2,0.0,0.2
course,0.2,0.1,0.1,0.0,0.1,0.0
games,-0.1,0.2,0.7,0.3,-0.2,0.4
health,0.2,0.0,0.3,0.5,0.2,0.1
hope,-0.4,0.5,0.5,0.6,0.2,0.1
important,0.5,0.0,-0.2,0.1,0.1,0.3
least,-0.4,0.1,-0.1,-0.2,0.0,-0.4
means,0.1,0.0,0.0,0.0,0.1,0.0
news,-0.1,0.3,0.3,0.1,-0.6,0.4
within,0.0,0.0,0.0,0.1,0.1,-0.3
able,0.0,0.1,0.3,0.2,0.0,0.1
book,0.2,0.2,0.0,0.2,0.3,-0.3
early,-0.2,0.2,0.2,0.1,-0.4,-0.2
friends,0.1,0.2,0.4,0.8,0.1,0.3
information,0.1,0.3,-0.2,-0.3,-0.3,0.0
local,0.1,0.0,0.1,0.3,0.1,-0.1
oh,-0.5,0.4,0.6,0.3,0.0,0.4
post,0.2,-0.3,0.1,0.0,0.1,0.1
thanks,-0.2,0.2,0.4,0.6,0.0,0.3
video,0.0,0.1,0.2,0.1,-0.7,0.3
young,-0.3,0.2,0.6,0.3,-0.8,0.3
ago,0.1,0.2,-0.2,-0.1,0.4,-0.3
others,0.1,0.0,0.1,0.1,0.0,0.0
social,0.0,0.2,0.3,0.4,-0.2,0.2
talk,0.0,0.2,0.2,0.3,0.0,0.3
court,0.6,0.0,-0.3,-0.2,0.5,0.3
fact,0.5,-0.2,-0.4,-0.4,0.2,0.2
given,0.0,0.0,0.0,0.0,0.1,-0.1
guys,0.0,0.0,0.4,0.4,-0.3,0.3
half,-0.1,0.0,0.1,0.0,0.0,-0.1
hand,0.2,0.3,0.2,0.5,0.3,0.1
level,0.1,0.1,0.2,-0.1,0.0,-0.2
mind,-0.3,0.3,0.4,0.3,0.3,0.1
often,-0.2,0.1,0.1,0.0,0.0,-0.1
single,-0.1,-0.1,0.2,-0.2,-0.1,0.0
become,0.0,0.0,0.3,0.2,-0.2,0.2
body,0.5,0.0,-0.1,0.6,0.2,0.1
coming,0.0,-0.1,0.3,0.2,-0.3,0.3
control,0.6,-0.2,-0.4,-0.3,0.2,0.4
death,0.8,-0.3,-0.7,-0.8,0.8,0.2
food,0.2,0.0,-0.2,0.5,0.1,0.1
guy,0.2,0.0,0.1,0.3,-0.1,0.1
hours,0.3,0.2,-0.2,0.0,0.3,-0.3
office,0.4,0.0,-0.2,-0.3,0.1,-0.2
pay,0.2,-0.2,0.1,0.1,0.2,0.2
problem,0.5,0.0,-0.3,-0.2,0.1,0.3
south,0.2,-0.2,0.0,0.6,0.2,0.0
true,0.4,-0.2,-0.1,0.3,0.5,0.1
almost,-0.4,0.3,0.2,0.0,-0.1,-0.3
fuck,0.3,-0.2,0.5,0.5,-0.2,0.9
history,0.7,0.0,-0.5,0.2,0.8,-0.1
known,0.3,0.0,-0.2,0.2,0.4,0.0
large,0.7,0.0,-0.2,0.0,0.2,0.3
lost,0.2,0.3,-0.4,-0.5,0.3,-0.2
research,0.4,0.0,-0.3,-0.3,0.3,-0.2
room,0.5,0.0,-0.1,0.3,0.1,-0.3
several,0.1,0.1,0.0,0.0,0.0,-0.1
started,0.0,-0.1,0.4,0.2,-0.6,0.4
taking,0.2,-0.1,0.1,0.1,-0.2,0.2
university,0.7,0.0,-0.4,0.0,0.6,-0.1
win,0.2,-0.1,0.7,0.6,-0.2,0.7
wrong,0.4,-0.2,-0.4,-0.4,0.1,0.4
along,-0.3,0.2,0.3,0.2,0.0,-0.1
anyone,-0.2,0.2,0.1,0.1,0.0,0.0
else,-0.3,0.2,0.2,-0.1,0.0,0.1
girl,-0.2,0.1,0.4,0.5,-0.5,0.2
john,0.3,0.0,0.0,0.2,0.5,0.1
matter,0.8,0.0,-0.5,-0.1,0.6,0.1
pretty,-0.4,0.4,0.5,0.4,-0.3,0.1
remember,0.3,0.2,-0.2,0.4,0.5,-0.3
air,-0.8,0.7,0.3,0.0,0.7,-0.5
bit,-0.6,0.2,0.4,0.0,-0.2,-0.2
friend,0.2,0.0,0.3,0.8,0.2,0.2
hit,0.3,-0.5,0.6,0.2,0.0,0.8
needs,0.4,-0.1,-0.2,0.3,0.1,0.3
nice,-0.2,0.2,0.3,0.6,-0.1,-0.2
playing,-0.1,0.2,0.7,0.5,-0.4,0.4
probably,-0.2,0.3,0.0,0.0,0.0,-0.3
saying,-0.3,0.3,0.2,0.2,-0.1,0.2
understand,0.5,0.0,-0.2,0.4,0.3,-0.2
yeah,-0.4,0.3,0.5,0.4,-0.5,0.3
york,0.3,0.0,-0.1,0.1,0.6,0.1
class,0.2,0.0,-0.2,-0.1,0.2,0.2
close,0.1,-0.1,-0.1,0.2,0.0,-0.2
comes,0.0,0.0,0.1,0.1,-0.2,0.1
idea,-0.6,0.3,0.4,0.2,-0.3,0.1
international,0.4,0.1,-0.2,-0.2,0.1,0.3
looks,-0.2,-0.1,0.2,0.1,-0.1,0.0
past,0.4,-0.1,-0.5,-0.3,0.7,-0.4
possible,-0.3,0.2,0.5,0.1,-0.2,0.0
wanted,0.1,0.0,0.0,0.3,0.0,0.3
cause,0.3,-0.1,-0.1,0.0,0.1,0.2
due,0.2,-0.1,-0.3,-0.1,0.0,0.1
happy,-0.4,0.4,0.7,0.6,-0.1,0.4
human,0.1,0.0,0.1,0.5,0.4,0.2
members,0.2,0.0,-0.1,0.1,0.1,0.1
months,0.1,0.2,-0.2,0.0,0.2,-0.1
move,0.0,-0.1,0.3,0.1,-0.2,0.2
question,-0.1,0.3,0.3,0.0,0.1,0.2
series,0.2,0.0,-0.1,-0.1,0.0,0.0
wait,0.3,0.3,-0.4,-0.1,0.1,-0.5
woman,0.1,0.0,0.1,0.5,0.2,0.2
ask,-0.2,0.2,0.2,0.1,0.0,0.2
community,0.3,0.1,-0.2,0.5,0.3,0.1
data,-0.1,0.2,0.1,-0.5,-0.6,-0.2
late,0.2,0.2,-0.3,-0.2,0.2,0.1
leave,-0.1,0.5,0.1,-0.1,0.0,0.0
north,0.3,-0.3,-0.2,-0.7,0.4,0.1
saw,0.2,-0.4,0.0,0.0,0.1,0.4
special,-0.2,0.2,0.4,0.3,-0.1,0.3
watch,0.1,0.0,0.1,0.0,0.1,-0.3
either,0.0,0.1,0.0,0.0,0.0,0.0
fucking,0.2,-0.3,0.2,0.4,-0.2,0.9
future,-0.3,0.3,0.4,-0.2,-0.8,0.2
light,-0.8,0.6,0.3,0.4,0.0,0.1
low,0.2,0.0,-0.4,-0.2,0.0,-0.5
million,0.5,0.0,-0.1,0.0,0.1,0.5
morning,-0.3,0.4,0.3,0.3,-0.4,-0.1
police,0.4,-0.1,-0.3,-0.3,0.2,0.6
short,-0.3,-0.2,0.2,0.0,-0.2,0.1
stay,0.3,0.2,-0.5,0.2,0.1,-0.2
taken,0.2,-0.2,-0.3,-0.2,0.1,0.1
age,0.4,0.2,-0.4,-0.1,0.8,-0.2
buy,0.0,-0.1,0.2,0.1,-0.1,0.1
deal,0.2,0.2,-0.1,0.1,0.0,0.3
rather,0.0,0.0,0.0,0.0,0.0,0.0
reason,0.2,0.0,-0.2,-0.1,0.3,0.0
red,0.1,-0.1,0.2,0.8,0.0,0.6
report,0.2,0.2,-0.3,-0.3,0.1,0.2
soon,-0.4,-0.3,0.4,0.1,-0.5,0.1
third,0.1,0.0,-0.1,0.0,0.1,0.0
turn,0.0,0.2,0.3,0.0,-0.1,0.1
whether,0.0,0.2,0.0,0.0,0.0,0.0
among,0.0,0.0,0.0,0.0,0.0,0.0
check,0.1,0.1,0.2,-0.1,-0.1,0.2
development,0.3,0.0,-0.2,0.1,-0.2,0.1
form,0.2,0.1,0.1,-0.1,0.2,0.0
further,0.0,-0.1,0.0,0.0,0.0,0.0
heart,0.3,-0.1,0.2,0.8,0.2,0.4
minutes,-0.2,0.0,0.1,-0.1,-0.2,-0.2
myself,0.0,0.0,0.0,0.0,0.0,0.0
services,0.0,0.1,0.0,-0.1,-0.2,0.0
yourself,0.0,0.0,0.0,0.0,0.0,0.0
act,0.2,-0.2,0.2,0.1,0.1,0.3
although,0.0,0.2,0.0,0.0,0.0,0.0
asked,0.0,0.1,0.1,0.1,0.0,0.2
child,-0.2,0.1,0.5,0.6,-0.7,0.3
fire,-0.4,0.6,0.1,1.0,0.5,0.7
fun,-0.4,0.4,0.7,0.5,-0.5,0.5
living,0.1,0.1,0.3,0.5,-0.1,0.2
major,0.5,0.0,-0.2,0.0,0.1,0.4
media,0.1,0.3,0.1,-0.2,-0.5,0.3
phone,0.1,0.0,0.2,-0.2,-0.6,0.3
players,0.1,0.0,0.4,0.2,-0.3,0.3
art,0.2,0.2,0.2,0.3,0.6,0.1
behind,0.0,0.0,0.0,0.0,0.0,-0.1
building,0.7,0.0,-0.5,-0.1,0.2,0.0
easy,-0.5,0.4,0.4,0.3,-0.2,-0.3
gonna,-0.3,0.2,0.4,0.2,-0.7,0.2
market,0.3,0.0,-0.1,0.3,0.3,0.3
near,0.0,0.0,0.0,0.1,0.0,-0.1
non,0.0,0.0,0.0,0.0,0.0,0.0
plan,0.1,0.2,0.1,-0.2,-0.2,0.0
political,0.3,0.2,-0.3,-0.2,0.1,0.3
quite,-0.1,0.0,0.1,0.0,0.0,-0.2
six,0.0,0.0,0.2,0.0,0.0,0.0
talking,-0.1,0.3,0.2,0.3,-0.1,0.3
west,0.3,0.0,0.0,0.2,0.2,0.1
works,0.4,0.0,-0.1,0.1,0.2,0.1
according,0.0,0.1,0.0,0.0,0.0,0.0
available,-0.1,0.2,0.2,0.0,-0.3,0.0
education,0.4,0.1,-0.1,0.2,0.3,0.1
final,0.5,-0.2,-0.4,-0.3,0.2,0.4
former,0.2,0.1,-0.2,-0.3,0.4,-0.2
front,0.2,-0.2,0.1,0.0,0.0,0.2
kids,-0.3,0.1,0.6,0.6,-0.7,0.4
list,-0.1,0.3,0.0,-0.3,-0.2,-0.2
ready,0.0,-0.1,0.4,0.2,-0.3,0.3
sometimes,0.0,0.2,0.1,0.0,0.0,-0.2
son,0.1,0.0,0.3,0.6,-0.4,0.2
street,0.5,0.0,-0.3,-0.1,0.3,0.3
bring,0.1,0.0,0.0,0.2,-0.2,0.2
college,0.4,0.0,0.1,0.1,0.3,0.1
current,-0.2,-0.2,0.3,-0.1,-0.5,0.3
example,-0.1,0.0,0.0,0.0,-0.1,-0.1
experience,0.5,0.1,0.1,0.3,0.4,0.1
heard,-0.2,0.1,0.2,0.1,0.0,-0.2
london,0.6,0.0,-0.2,0.2,0.6,0.2
